Uncertainty Metrics,Model,Vulnerability Detection - Before,Vulnerability Detection - TS,Vulnerability Detection - PS,Vulnerability Detection - Iso. R,Defect Prediction - Before,Defect Prediction - TS,Defect Prediction - PS,Defect Prediction - Iso. R
Vanilla,StarCoder-3B,"13.11/13.11","13.91/13.74","17.64/19.98","65.22/65.22","29.60/29.60","5.65/75.95","37.38/58.00","40.87/54.89"
Vanilla,Qwen2.5-Coder-7B,"11.69/11.69","11.82/11.35","13.99/16.72","29.96/29.96","29.14/29.14","29.03/9.93","17.55/30.92","95.57/20.80"
Vanilla,CodeLlama-7B,"8.21/8.21","8.97/8.56","19.68/20.35","93.23/73.31","9.06/9.06","20.03/20.44","14.24/18.59","14.06/14.06"
Vanilla,DeepSeek-Coder-7B,"3.97/3.97","7.98/7.32","13.20/15.81","37.07/37.07","29.14/29.14","29.83/7.58","26.65/6.37","24.29/24.29"
Entropy,StarCoder-3B,"21.49/21.49","12.12/11.91","10.90/17.42","66.76/36.64","27.95/27.95","18.88/8.67","13.43/26.87","11.01/25.00"
Entropy,Qwen2.5-Coder-7B,"25.72/25.72","12.90/12.33","14.83/15.15","23.63/23.13","29.39/29.39","21.13/9.11","27.15/20.39","9.47/9.47"
Entropy,CodeLlama-7B,"28.14/28.14","17.34/15.33","20.33/12.74","33.42/29.10","28.22/28.22","18.79/11.47","22.29/15.86","13.77/13.77"
Entropy,DeepSeek-Coder-7B,"33.03/33.03","17.87/13.79","10.74/9.44","27.43/23.92","30.82/30.63","20.90/5.02","28.40/10.09","30.09/30.09"
MI,StarCoder-3B,"65.80/65.80","54.04/46.99","26.23/33.70","2.01/2.01","89.51/89.52","89.86/55.80","26.39/13.43","0.25/0.25"
MI,Qwen2.5-Coder-7B,"64.76/64.76","52.83/42.72","19.95/19.80","1.06/1.06","92.14/92.15","90.02/57.49","20.87/27.15","0.18/0.18"
MI,CodeLlama-7B,"60.11/60.11","47.67/41.90","22.87/37.21","0.70/0.70","91.80/91.81","91.50/63.93","16.37/22.29","62.28/43.43"
MI,DeepSeek-Coder-7B,"55.40/55.40","44.38/41.77","17.17/31.49","1.06/1.06","92.24/92.24","90.38/57.50","10.35/28.40","0.94/0.94"
MC,StarCoder-3B,"46.34/46.34","47.93/12.11","34.18/26.22","65.22/65.23","37.93/37.93","35.44/6.02","68.48/28.31","27.06/34.36"
MC,Qwen2.5-Coder-7B,"51.05/51.05","47.24/16.22","24.60/17.90","29.96/29.96","38.37/38.37","44.26/5.62","39.19/7.66","12.23/12.23"
MC,CodeLlama-7B,"46.28/46.28","52.96/14.74","59.96/24.13","93.23/73.31","35.21/35.21","32.76/5.21","38.97/7.94","2.40/2.40"
MC,DeepSeek-Coder-7B,"46.88/46.88","45.08/12.83","85.92/19.46","37.07/37.07","38.73/38.73","37.68/6.48","36.68/4.21","3.70/3.86"
LC,StarCoder-3B,"6.00/6.00","7.64/7.86","10.31/13.26","15.16/9.78","50.70/50.70","66.66/67.27","16.32/11.45","45.25/45.25"
LC,Qwen2.5-Coder-7B,"11.69/11.69","11.82/11.35","16.16/17.90","29.96/29.96","78.65/78.65","61.90/63.58","16.48/26.68","16.68/6.24"
LC,CodeLlama-7B,"8.21/8.21","8.97/8.56","22.89/23.80","93.20/73.31","54.05/54.05","59.01/58.46","20.08/17.86","11.90/30.77"
LC,DeepSeek-Coder-7B,"3.97/3.97","7.98/7.32","19.33/19.57","37.07/37.07","59.06/59.06","56.72/57.09","18.50/4.70","23.25/19.35"
RC,StarCoder-3B,"93.94/93.94","95.98/60.50","23.95/28.62","2.01/2.01","86.18/86.18","88.03/53.53","2.06/38.29","89.12/89.12"
RC,Qwen2.5-Coder-7B,"86.38/86.38","92.56/53.97","17.32/24.94","1.06/1.06","90.64/90.64","91.35/53.37","14.89/43.39","50.00/0.16"
RC,CodeLlama-7B,"91.42/91.42","90.71/59.24","23.71/60.36","0.70/0.70","90.79/90.79","90.14/53.80","4.17/45.47","83.25/83.25"
RC,DeepSeek-Coder-7B,"95.96/95.96","92.25/70.36","19.37/86.21","23.21/23.21","89.46/89.46","90.36/51.78","2.06/39.67","32.33/3.01"
BVSB,StarCoder-3B,"46.34/46.34","47.93/12.11","34.18/26.22","65.22/65.23","37.93/37.93","35.44/6.02","33.43/4.62","6.17/6.17"
